Column1;Column2
8;Cerebellum Anterior Lobe
1;Cerebellum Posterior Lobe
5;Frontal Lobe
11;Frontal-Temporal Space
4;Limbic Lobe
2;Medulla
10;Midbrain
9;Occipital Lobe
12;Parietal Lobe
7;Pons
6;Sub-lobar
3;Temporal Lobe
